Coutry;City;Borough;Neighbourhood;Area;Population;Density
Slovenia;Ljubljana;Rudnik;;2.54;13,905;5,474
Slovenia;Ljubljana;Golovec;;8.27;12,199;1,475
Slovenia;Ljubljana;Črnuče;;1.81;11,641;6,431
Slovenia;Ljubljana;Posavje;;9.05;9,901;1,094
Slovenia;Ljubljana;Sostro;;8.85;6,816;770
Slovenia;Ljubljana;Šmarna;;1.44;4,965;3,448
Lithuania;Vilnius;;;;;#DIV/0!
Croatia;Zagreb;Donji Grad;;3.01;37,123;12,333
Croatia;Zagreb;Gornji Grad – Medveščak;;10.12;31,279;3,091
Croatia;Zagreb;Trnje;;7.37;42,126;5,716
Croatia;Zagreb;Maksimir;;14.35;49,448;3,446
Croatia;Zagreb;Peščenica – Žitnjak;;35.3;56,446;1,599
Croatia;Zagreb;Novi Zagreb – istok;;16.54;59,227;3,581
Croatia;Zagreb;Novi Zagreb – zapad;;62.59;58,025;927
Croatia;Zagreb;Trešnjevka – sjever;;5.83;55,342;9,493
Croatia;Zagreb;Trešnjevka – jug;;9.84;66,595;6,768
Croatia;Zagreb;Črnomerec;;24.33;39,040;1,605
Croatia;Zagreb;Gornja Dubrava;;40.28;62,221;1,545
Croatia;Zagreb;Donja Dubrava;;10.82;36,461;3,370
Croatia;Zagreb;Stenjevec;;12.18;51,849;4,257
Croatia;Zagreb;Podsused – Vrapče;;36.05;45,771;1,270
Croatia;Zagreb;Podsljeme;;60.11;19,249;320
Croatia;Zagreb;Sesvete;;165.26;70,633;427
Croatia;Zagreb;Brezovica;;127.45;12,040;94
Ireland;Dublin;;;;;#DIV/0!
Slovakia;Bratislava;Staré Mesto;;9.59;40,610;4,235
Slovakia;Bratislava;Ružinov;;39.7;72,718;1,832
Slovakia;Bratislava;Vrakuňa;;10.3;20,173;1,959
Slovakia;Bratislava;Podunajské Biskupice;;42.49;22,029;518
Slovakia;Bratislava;Nové Mesto;;37.48;38,482;1,027
Slovakia;Bratislava;Rača;;23.66;22,088;934
Slovakia;Bratislava;Vajnory;;13.53;5,872;434
Slovakia;Bratislava;Karlova Ves;;10.95;33,586;3,067
Slovakia;Bratislava;Dúbravka;;8.65;33,324;3,852
Slovakia;Bratislava;Lamač;;6.54;7,232;1,106
Slovakia;Bratislava;Devín;;13.96;1,538;110
Slovakia;Bratislava;Devínska Nová Ves;;24.22;15,940;658
Slovakia;Bratislava;Záhorská Bystrica;;33.3;5,171;155
Slovakia;Bratislava;Petržalka;;28.68;103,190;3,598
Slovakia;Bratislava;Jarovce;;21.34;2,200;103
Slovakia;Bratislava;Rusovce;;25.56;3,964;155
Slovakia;Bratislava;Čunovo;;18.62;1,447;78
Finland;Helsinki;;;;;#DIV/0!
Denmark;Copenhagen;Amager East;;9.11;57673;6,331
Denmark;Copenhagen;Amager Vest;;19.18;71755;3,741
Denmark;Copenhagen;Bispebjerg;;6.83;55239;8,088
Denmark;Copenhagen;Brønshøj-Husum;;8.73;44741;5,125
Denmark;Copenhagen;Indre By;;8.98;55493;6,180
Denmark;Copenhagen;Nørrebro;;4.1;80572;19,652
